発注伝票№,製番,製品№,ﾕﾆｯﾄ№,部品№,品番,図番,改訂,品名,形式寸法,発注日,納期,回答納期,確定納期,納入完了日,検収完了日,手配,仕入先,発注数,納入数,発注残数,検収累計数,未検収数,納入場所,備考,品番分類
301957,3804-00,3804-00,B,#400,,XAL607-0424,,ﾎﾞｰﾙﾈｼﾞ,加工品_HSS3210N1D0850,2025/3/17 0:00,2025/5/29 0:00,2025/5/29 0:00,2025/5/29 0:00,,,外注加工,池田産業㈱,1,0,1,0,1,,,部品
301958,3804-00,3804-00,B,#500,,XAL607-0521,,ﾎﾞｰﾙﾈｼﾞ,加工品_PSS2505N1D0499,2025/3/17 0:00,2025/5/29 0:00,2025/5/29 0:00,2025/5/29 0:00,,,外注加工,池田産業㈱,1,0,1,0,1,,,部品
301959,3804-00,3804-00,B,#900,,_XAL607-0926,,ｴﾘｱｾﾝｻｰｶﾊﾞｰ,GL-SA28S,2025/3/17 0:00,2025/4/1 0:00,,2025/4/1 0:00,2025/3/31 0:00,2025/3/31 0:00,購入品手配,㈱ｷ-ｴﾝｽ金沢営業所,4,4,0,4,0,,,部品
301960,3804-00,3804-00,B,#600,,XAL607-0635A,,回収BOX,内容物は420x444　500x500x200のｻｲｽﾞ±1mm以内仕上,2025/3/17 0:00,2025/5/29 0:00,2025/5/29 0:00,2025/5/29 0:00,,,購入品手配,吉岡幸㈱鯖江支店,1,0,1,0,1,,ﾌﾟﾗﾀﾞﾝｺﾝﾃﾅ(ﾘﾌﾞ付)　黒 B№01003130,部品
301961,3804-00,3804-00,B,#100,,XAL607-0129E,,真空ﾃｰﾌﾞﾙ04,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301962,3804-00,3804-00,B,#100,,XAL607-0130D,,真空ﾃｰﾌﾞﾙ05,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301963,3804-00,3804-00,B,#100,,XAL607-0131D,,真空ﾃｰﾌﾞﾙ06,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301964,3804-00,3804-00,B,#200,,XAL607-0210C,,ｺﾝﾍﾞｱﾌﾚｰﾑ1,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301965,3804-00,3804-00,B,#200,,XAL607-0211D,,ｺﾝﾍﾞｱﾌﾚｰﾑ2,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301966,3804-00,3804-00,B,#200,,XAL607-0212,,ｺﾝﾍﾞｱﾌﾚｰﾑ3,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,2,2,0,0,2,,,部品
301967,3804-00,3804-00,B,#200,,XAL607-0213A,,ｺﾝﾍﾞｱﾌﾚｰﾑ4,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301968,3804-00,3804-00,B,#200,,XAL607-0214,,ｺﾝﾍﾞｱﾌﾚｰﾑ5,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301969,3804-00,3804-00,B,#200,,XAL607-0215,,ｺﾝﾍﾞｱﾌﾚｰﾑ6,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301970,3804-00,3804-00,B,#400,,XAL607-0436,,ｾﾝｻBKT,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301971,3804-00,3804-00,B,#400,,XAL607-0437,,ｼﾘﾝﾀﾞBKT,,2025/3/17 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/9 0:00,2025/5/12 0:00,,外注加工,㈱ﾐｽﾞﾉﾏｼﾅﾘ-,1,1,0,0,1,,,部品
301972,3804-00,3804-00,B,#100,,XAL607-0110A,,ｽﾃｰｼﾞ,加工品　ﾒｯｷ込み,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/12 0:00,,外注加工,双葉電子工業㈱,1,1,0,0,1,,,部品
301973,3804-00,3804-00,B,#100,,XAL607-0113G,,真空ﾍﾞｰｽ,加工品　ﾒｯｷ込み,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/12 0:00,,外注加工,双葉電子工業㈱,2,2,0,0,2,,,部品
301974,3804-00,3804-00,B,#300,,XAL607-0310B,,ﾆｯﾌﾟ枠,加工品　ﾒｯｷ込み,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/12 0:00,,外注加工,双葉電子工業㈱,1,1,0,0,1,,,部品
301975,3804-00,3804-00,B,#400,,XAL607-0410F,,ｴｱﾍｯﾄﾞ天板,加工品　ﾒｯｷ込み,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/12 0:00,,外注加工,双葉電子工業㈱,1,1,0,0,1,,,部品
301976,3804-00,3804-00,B,#400,,XAL607-0418,,ｶﾞｲﾄﾞﾎﾟｽﾄ,加工品　,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/12 0:00,,外注加工,双葉電子工業㈱,4,4,0,0,4,,,部品
301977,3804-00,3804-00,B,#500,,XAL607-0510E,,MGﾍｯﾄﾞ天板,加工品　ﾒｯｷ込み,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/12 0:00,,外注加工,双葉電子工業㈱,1,1,0,0,1,,,部品
301978,3804-00,3804-00,B,#800,,XAL607-0810E,,ﾍﾞｰｽﾌﾚｰﾑ,"XAL607-0810-1E,-0810-2E",2025/3/17 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/19 0:00,,外注加工,㈱吉田機工,1,1,0,0,1,,,部品
301979,3804-00,3804-00,B,#100,,XAL607-0127A,,ﾛｹｰﾀ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,田中精機㈲,2,2,0,0,2,,,部品
301980,3804-00,3804-00,B,#100,,XAL607-0139,,ｽﾍﾟｰｻ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/9 0:00,,外注加工,田中精機㈲,4,4,0,0,4,,,部品
301981,3804-00,3804-00,B,#100,,XAL607-0140,,ｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/9 0:00,,外注加工,田中精機㈲,4,4,0,0,4,,,部品
301982,3804-00,3804-00,B,#200,,XAL607-0217,,ﾓｰﾀｰBKT,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/30 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301983,3804-00,3804-00,B,#200,,XAL607-0218A,,ﾃﾝｼｮﾝBKT,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/7 0:00,2025/4/7 0:00,外注加工,田中精機㈲,1,1,0,1,0,,,部品
