バーコード値,部品№,図番№,納入数,保管場所
0000302159,#100,XAL607-0128,2,コンテナ
0000302084,#100,XAL607-0121,2,コンテナ
0000302085,#100,XAL607-0122,2,コンテナ
0000302086,#100,XAL607-0123A,2,コンテナ
0000301979,#100,XAL607-0127A,2,コンテナ
0000302083,#100,XAL607-0120B,4,コンテナ
0000302140,#100,XAL607-0142A,1,コンテナ
0000302139,#100,XAL607-0141A,1,コンテナ
0000302082,#100,XAL607-0119,2,コンテナ
0000301981,#100,XAL607-0140,4,コンテナ
0000302120,#100,XAL607-0133,2,コンテナ
0000301980,#100,XAL607-0139,4,コンテナ
0000302041,#100,XAL607-0111A,2,コンテナ
0000301966,#200,XAL607-0212,2,コンテナ
0000301969,#200,XAL607-0215,1,コンテナ
0000301967,#200,XAL607-0213A,1,コンテナ
0000301968,#200,XAL607-0214,1,コンテナ
0000302203,#200,XAL607-0232,2,コンテナ
0000301982,#200,XAL607-0217,1,コンテナ
0000302141,#200,XAL607-0228,1,コンテナ
0000302142,#200,XAL607-0229,1,コンテナ
0000302111,#200,XAL607-0224,1,コンテナ
0000302110,#200,XAL607-0223,1,コンテナ
0000302108,#200,XAL607-0221A,1,コンテナ
0000302043,#200,XAL607-0216,2,コンテナ
0000302044,#200,XAL607-0220,5,コンテナ
0000301983,#200,XAL607-0218A,1,コンテナ
0000302185,#300,XAL607-0311A,2,コンテナ
0000302160,#300,XAL607-0314,1,コンテナ
0000302186,#300,XAL607-0312A,2,コンテナ
0000302087,#300,XAL607-0315A,4,コンテナ
0000302094,#400,XAL607-0413,4,コンテナ
0000302167,#400,XAL607-0445,2,コンテナ
0000302205,#400,XAL607-0444,1,コンテナ
0000302204,#400,XAL607-0443,1,コンテナ
0000302127,#400,XAL607-0442,1,コンテナ
0000301990,#400,XAL607-0441,1,コンテナ
0000302114,#400,XAL607-0439A,1,コンテナ
0000302113,#400,XAL607-0438A,1,コンテナ
0000301971,#400,XAL607-0437,1,コンテナ
0000301970,#400,XAL607-0436,1,コンテナ
0000301989,#400,XAL607-0433,1,コンテナ
0000302037,#400,XAL607-0432,1,コンテナ
0000302036,#400,XAL607-0431,1,コンテナ
0000302126,#400,XAL607-0430A,2,コンテナ
0000302023,#400,XAL607-0429C,1,コンテナ
0000302021,#400,XAL607-0427,1,コンテナ
0000302112,#400,XAL607-0423,1,コンテナ
0000302022,#400,XAL607-0428,1,コンテナ
0000302125,#400,XAL607-0422,1,コンテナ
0000302048,#400,XAL607-0421,1,コンテナ
0000302124,#400,XAL607-0414,1,コンテナ
0000302047,#400,XAL607-0419,1,コンテナ
0000302161,#400,XAL607-0420,1,コンテナ
0000301994,#500,XAL607-0530,2,コンテナ
0000302050,#500,XAL607-0421,1,コンテナ
0000301995,#500,XAL607-0541,2,コンテナ
0000302128,#500,XAL607-0414,1,コンテナ
0000302129,#500,XAL607-0516,1,コンテナ
0000302162,#500,XAL607-0420,1,コンテナ
0000301991,#500,XAL607-0433,1,コンテナ
0000302038,#500,XAL607-0431,1,コンテナ
0000302095,#500,XAL607-0513,4,コンテナ
0000302039,#500,XAL607-0432,1,コンテナ
0000302080,#500,XAL607-0533,2,コンテナ
0000302027,#500,XAL607-0525,1,コンテナ
0000302049,#500,XAL607-0419,1,コンテナ
0000302081,#500,XAL607-0534,2,コンテナ
0000302028,#500,XAL607-0526A,1,コンテナ
0000302026,#500,XAL607-0524,1,コンテナ
0000302024,#500,XAL607-0522(K-1),1,コンテナ
0000302143,#500,XAL607-0515,4,コンテナ
0000302106,#600,XAL607-0540,1,コンテナ
0000302115,#500,XAL607-0517,1,コンテナ
0000302131,#500,XAL607-0527,2,コンテナ
0000302354,#600,XAL607-0625A,1,コンテナ
0000302163,#600,XAL607-0610,1,コンテナ
0000302089,#600,XAL607-0637,4,コンテナ
0000302145,#600,XAL607-0535A,1,コンテナ
0000302149,#600,XAL607-0539,2,コンテナ
0000302147,#600,XAL607-0537,1,コンテナ
0000302148,#600,XAL607-0538,1,コンテナ
0000302146,#600,XAL607-0536A,1,コンテナ
0000301996,#600,XAL607-0618A,1,コンテナ
0000301997,#600,XAL607-0619A,1,コンテナ
0000302001,#600,XAL607-0641,2,コンテナ
0000302200,#600,XAL607-0624C,2,コンテナ
0000302153,#600,XAL607-0627,1,コンテナ
0000302088,#600,XAL607-0623,6,コンテナ
0000302199,#600,XAL607-0616B,1,コンテナ
0000302030,#600,XAL607-0631,1,コンテナ
0000302040,#600,XAL607-0615,1,コンテナ
0000302029,#600,XAL607-0626,1,コンテナ
0000302117,#600,XAL607-0640,2,コンテナ
0000302121,#600,XAL607-0636,3,コンテナ
0000302133,#600,XAL607-0630A,1,コンテナ
0000302116,#600,XAL607-0628,1,コンテナ
0000301999,#600,XAL607-0621A,1,コンテナ
0000301998,#600,XAL607-0620,1,コンテナ
0000302096,#700,XAL607-0716,2,コンテナ
0000302002,#700,XAL607-0725(K-1),1,コンテナ
0000302164,#700,XAL607-0610,1,コンテナ
